SORTED	LEFT	MATCH	RIGHT	ID
		We are	back [.] You 're listening to the <@> Timmy Shoemaker </@> t...	ICE-CAN:S1B-031:1:1:A
		We are	going to have examinations uh have you prepared [.] You have...	ICE-HKG:S1A-086:1:1:A
		We are	here to discuss the priorities <,> of the eighth Five...	ICE-IND:S1B-026:1:1:A
		We are	not having a formal debate we feel very [.] So what are you ...	ICE-SGP:S1B-001:1:1:A
		We are	not opposed to the containment of cost of living for...	ICE-JAM:S1B-054:1:1:A
	 " We make our destiny" . [.]	We are	the ones who plan our life. [.] Destiny means that each one ...	ICE-PHL:W1A-014:140:2
	 " Who will see your forest?" [.]  "	We are	not planting it for people to see,"  said my father. [.]  " ...	ICE-IND:W2F-003:48:1
	 My Lord [.]	We are	saying that as a consequence of the medication she was...	ICE-IRL:S2A-064:A
	" That 's why we are the Naturalists. [.]	We are	adapted to Nature's way of life." At the mention of...	ICE-SGP:W2F-015:144:1
	" This is our world . [.]	We are	the Youth . [.] Nothing That We Care About .	ICE-HKG:W2F-003:121:2
	" We are in good shape . [.]	We are	confident that Hongkong will continue to be in good...	ICE-HKG:W2C-006:25:1
	" We are not only talking about 200 doctors . [.]	We are	talking about the best of the profession in public...	ICE-HKG:W2C-011:66:3
	" We are talking about basic human rights. [.]	We are	not in the Gestapo. [.] " Schera counters: " The only thing ...	ICE-USA:W2B-006:91:1
	" We have a long way to go," he said. [.] "	We are	not there, not by a long shot." [.] " I am pleased with the ...	ICE-CAN:W2C-006:37:3
	" We should not have come out." [.] "	We are	doomed." [.] " Anything to get back at those Japanese dogs."...	ICE-USA:W2F-010:17:1
	'Yan ang main problem natin talaga 'no [.]	We are	probably uh the most inefficient and really uncaring...	ICE-PHL:S2A-040:127:1:A
	( 3) Non-academic staff - 251 [.]	We are	of course most grateful for their support and we...	ICE-SGP:W1B-025:189:7
	... 'm sorry not to be able to give you any better advice . [.]	We are	all off on holiday on 31 August for a month . [.] We 'll loo...	ICE-GBR:W1B-014:51:3
	... 's in </?> <,> such a turmoil stage and we are not <,,> [.]	We are	more or less [.] <?> Not bothered about </?>	ICE-IND:S1A-010:45:1:C
	... 's not to be <,> put onto the margins of Irish politics [.]	We are	told that it was only my speech last year that brought...	ICE-IRL:S2B-048:A
	... , one does n't know whether to feel elated or to laugh. [.]	We are	told by the Board's chairman, Vasu Paik Gaonkar, that...	ICE-IND:W2C-019:66:1
	... 1992 had to be postponed for reasons now obvious to us. [.]	We are	pleased that Professor Chan Heng Chee, Executive...	ICE-SGP:W1B-023:55:3
	... </{> whole issue of young offenders is not an either-or [.]	We are	attempting to create a balance within the justice...	ICE-CAN:S1B-055:88:1:A
	... <=> prescribed</=></}> form<,> in the new Companies Act [.]	We are	very conscious of the problem <}> <=> with...	ICE-JAM:S1B-051:78:1:A
	... <@>Raymond</@> to answer questions during this process. [.]	We are	especially grateful to you for the copies of your...	ICE-NZL:W1B-020:57:6
	... <}> <=> with</=></}> its relationships externally #...# [.]	We are	travelling people [.] I do n't think <{#> <[#> there 's anot...	ICE-JAM:S1A-040:111:1:B
	... Avon, Heathcote and high tide, and several evacuations. [.]	We are	well<+> </+>off in this area, by comparison. [.] And very th...	ICE-NZL:W1B-009:51:1
	... Aw shucks " , wadges of the folding it is now holding . [.]	We are	going to have to conduct our own fund-raising campaign...	ICE-GBR:W2E-009:45:4
	... Hong Kong believe that our only future lies in services [.]	We are	no doubt proud of our position as Asia 's pre-eminent...	ICE-HKG:S2B-025:18:1:A
	... I may quote you Mister Marshall we have not come of age [.]	We are	adolescents [.] We have ability but no grace	ICE-SGP:S1B-040:12:1:A
	... I switch to a Bloody Mary entitled  ` Mona Darrling'  . [.]	We are	now in the right frame of mind for the abbreviated  `...	ICE-IND:W2B-017:90:2
	... MISS JESSICA CHEUNG FOR INSPECTION OF THE SAID STOCKS . [.]	WE ARE	PLEASED TO BE OF ASSISTANCE . [.] YOURS FAITHFULLY ,	ICE-HKG:W1B-025:232:20
	... Pope John XXIII, Malachi Martin, explores in 'Vatican'. [.]	We are	, however, in no doubt about the role of the Dutch...	ICE-JAM:W2E-001:X45:1
	... Thesis and obtained her degree from Hamline University. [.]	We are	all proud of her accomplishments. [.] She is active not only...	ICE-USA:W1B-011:105:1
	... a phase of the business cycle which brings lower growth [.]	We are	currently experiencing a slowdown in domestic...	ICE-HKG:S1B-054:119:1:C
	... adhere to which make our choices even more significant. [.]	We are	totally capable of everything we do. [.] Man must never disc...	ICE-PHL:W1A-014:39:1
	... already been earmarked by governments around the world. [.]	We are	uniquely positioned to benefit from these large...	ICE-USA:W1B-022:55:1
	... am missing something from my desk drawer, closets, etc. [.]	We are	installing metal detectors before your next visit. [.] El Ni...	ICE-PHL:W1B-010:159:6
	... and a fine for possession of ganja in two thousand <,,> [.]	We are	submitting that to admit the evidence will not be in...	ICE-JAM:S2A-068:8:3:A
	... and human resources to educate and entertain ourselves. [.]	We are	still secure from natural calamities. [.] In fact, lately, t...	ICE-PHL:W2B-011:99:2
	... and seeing a foul-mouthed fisherman<,> selling fish<,,> [.]	We are	talking about grace being completely undeserving<,> [.] This...	ICE-JAM:S2B-034:33:1:A
	... and situation-specific language all through our lives." [.]	We are	all guilty of grammatical slip-ups and malapropisms,...	ICE-IRL:W1A-015:B
	... and wonder admiringly how Arnold Schwarzenegger did it. [.]	We are	welcomed by a heavily made up stewardess, and my knees...	ICE-PHL:W2F-017:121:1
	... are therefore being used Mr President we are being used [.]	We are	being made puppets in a show to bring about the...	ICE-PHL:S2A-064:31:2:A
	... as usual and the crew start ferrying passengers ashore. [.]	We are	sitting in a row, cross-legged, straight-backed,...	ICE-NZL:W2F-011:155:1
	... basis depending on the amount of resources they use . [.] "	We are	trying to find the exact match for demand , " Mr Wang...	ICE-HKG:W2B-033:85:3
	... be able to know that seven plus five is equal to twelve [.]	We are	so used to seven plus five is equal to twelve that we...	ICE-PHL:S1B-002:163:1:A
	... believes that in the Philippines it has stopped raining [.]	We are	getting a shower of umbrellas [.] This is not to mention the...	ICE-PHL:S2B-026:120:1:A
	... but has decided that he is not ready for further study. [.]	We are	relaxed about it as there seems little point in going...	ICE-NZL:W1B-002:118:2
	... by linking Rembrandt's image with recent medical texts. [.]	We are	thus asked to contemplate how the subject is construed...	ICE-CAN:W2A-001:67:1
