SORTED	LEFT	MATCH	RIGHT	ID
	... he looks more more like the professor than he is than	he was	[.] He 's so handsome #...#	ICE-PHL:S1A-013:271:1:B
	... parts they had where he kind of met the president and	he was	[.] Elvis	ICE-IRL:S1A-054:A
	... review but maybe he was just trying to show how clever	he was	[.] well i do n't think it could have made much difference t...	ICE-NZL:S1A-044:66:1:S
	... you were looking in his face how far away from you	he was	[.] As close up about dis about dis distance	ICE-JAM:S1B-068:172:1:A
	...#> war [.] <.>he</.> he was n't young when i was born and so	he was	[.] <[#>mm</[<#></{#>	ICE-NZL:S1A-018:20:1:A
	...> the one </[> [.] <[> Oh yes sure </[> </{> he looked at me	he was	[.] I thought he was actually eyeing me up but he was only l...	ICE-IRL:S1A-024:D
	...defendant was in the back seat of the car was n't he [.] yes	he was	[.] he was sleeping was n't he when you arrived	ICE-NZL:S1B-063:212:2:R
	...e if anything else is uh travelling well behind him [.] Here	he was	[.] And uh Flying Dragon was the only chaser	ICE-HKG:S2A-001:273:1:B
	...e that this was the result of a lot of work by Panini [.] He	he was	[.] Panini	ICE-PHL:S1B-017:46:1:A
	...he actually basically was just doing his job [.] Yah I think	he was	[.] Yah and he was a thinking man too	ICE-SGP:S1A-081:248:1:C
	...it [.] Ya My brother was having tuition one night you see So	he was	[.] Then the tutor said very strong wind uh #...#	ICE-SGP:s1a-002:252:1:B
	...racing and things <?> like that </?> [.] Sorry he was saying	he was	[.] He was busy and he cannot be available on horse horse-ra...	ICE-HKG:S1B-063:X588:4:Z
	...rents saw him and said he was the best #,,# unbelievable [.]	He was	[.] He was	ICE-GBR:S1A-044:343:1:A
	...s conversation [.] He was really a bit of a boring prat like	he was		ICE-IRL:S1A-019:C
	...the uh #,,# yeah the organisation of the course #,,# [.] And	he was	[.] Bob's in today	ICE-GBR:S1A-008:103:1:A
	<[> He 's </[> </{> sick [.] No	he was	[.] Well if he was sick one day but he 's been his way to	ICE-HKG:S1A-069:X919:2:Z
	<[> He was imprisoned </[> </{> all that time [.] Yes <,>	he was	[.] <{> <[> Uhm </[>	ICE-CAN:S1B-016:44:1:A
	<[> I know </[> </{> [.] Uhm	he was	[.] Why why was	ICE-PHL:S1A-077:67:1:A
	Chong Jin is the wayward one [.] But he was I mean	he was	[.] He was like ra ra all fire you know	ICE-SGP:S1A-055:297:1:B
	He was #...# #..# [.] He was getting too cheeky so	he was	[.] Where was he from	ICE-IRL:S1A-087:B
	He was [.]	He was	[.] He was #..#	ICE-GBR:S1A-044:344:1:B
	He was livid [.] I 'm sure	he was	[.] He was raging	ICE-IRL:S1A-021:A
	I 'd say he was fine you know [.] I 'd say	he was	[.] It was a bit horrific now	ICE-IRL:S1A-079:B
	I suggest that to you [.]	He was	[.] Inspector <@> Lodge</@>	ICE-JAM:S1B-064:216:1:B
	Mark in St. John [.] Is that where	he was	[.] No <{> <[> South </[> #..# College	ICE-HKG:S1A-083:X700:2:Z
	Mm [.] Oh	he was	[.] And he was very slight	ICE-GBR:S1A-044:377:1:A
	Really [.] I thought	he was	[.] So cool #...#	ICE-SGP:S1A-047:93:1:B
	Why [.] Because	he was	[.] Ugly	ICE-PHL:S1A-077:77:1:A
	Yeah <,> yeah [.] But he was nice and he was charming and	he was	[.] And did you snog him	ICE-IRL:S1A-007:B
	Yes [.]	He was	[.] Yes <,,>	ICE-CAN:S1A-067:129:1:A
	Yes [.] But	he was	[.] You saw him in town did you always	ICE-GBR:S1A-044:358:1:B
	Yes [.] I will assume	he was	[.] He did not specify his designation in any letters	ICE-SGP:S1B-067:248:1:B
	Yes [.] When you first saw him you see how far from you	he was	[.] <@> Alan Beckman</@>	ICE-JAM:S1B-068:215:1:A
	Yes sir [.] How tall would you say	he was	[.] I do n't know sir	ICE-JAM:S1B-064:21:1:A
	i think he was [.]	he was	[.] i do n't know	ICE-NZL:S1A-021:220:1:B
	it was just [.] i think	he was	[.] he was	ICE-NZL:S1A-021:219:1:A
	was javed captain on that occasion [.] yes	he was	[.] was he <,,> #..#	ICE-NZL:S2A-012:36:1:J
" a poor arguer." however, roberts " had the gift of...	... intellectual quality was his " instinct" and that	he was	" a poor arguer." However, Roberts " had the gift of...	ICE-CAN:W2A-002:109:1
" not aware of the controversies " concerning mr judy...	... PAA chief executive officer , Hank Townsend , admitted	he was	" not aware of the controversies " concerning Mr Judy...	ICE-HKG:W2C-012:17:1
" ordinarily resident " in hong kong during his...	... his eligibility to stand for public office . [.] Lau argues	he was	" ordinarily resident " in Hong Kong during his...	ICE-HKG:W2C-019:101:5
" prevailed upon by proteges of ( former energy...	...out the illegal activities of the Napocor syndicate. [.] But	he was	" prevailed upon by proteges of ( former Energy...	ICE-PHL:W2C-002:57:2
" proud and happy " to have done his patriotic bit in...	... visit to London when the storm broke , responded that	he was	" proud and happy " to have done his patriotic bit in...	ICE-GBR:W2C-010:45:1
"deeply concerned"  by the lack of adequate disabled...	...claimed this week. [.] Bangor resident Tom O'Brien said that	he was	"deeply concerned"  by the lack of adequate disabled...	ICE-IRL:W2C-009:C
"disgusted"  by the latest incident - the fourth...	...a horse in Ballynahinch. [.] Superintendent Francis Fox said	he was	"disgusted"  by the latest incident - the fourth...	ICE-IRL:W2C-006:B
"disturbed"  by the content of what sir hugh said on...	...ng of loyalist attacks in the Republic. [.] Mr Reynolds said	he was	"disturbed"  by the content of what Sir Hugh said on...	ICE-IRL:W2C-007:A
"going soft"  by suggesting that sinn fein could...	...is Coleraine speech before Christmas. [.] Anyone who thought	he was	"going soft"  by suggesting that Sinn Fein could...	ICE-IRL:W2E-004:A
"hassled"  by a garda had summonses against him...	...arning on Attitude to Gardai [.] A Ballymote man who claimed	he was	"hassled"  by a Garda had summonses against him...	ICE-IRL:W2C-016:C
"in love with the country, unable to gain employment"...	... market, holding a piece of brown paper declaring that	he was	"in love with the country, unable to gain employment"...	ICE-IRL:W2C-013:B
"thankful it 's all over."	...tragic event occurred." [.] Mr Williams said afterwards that	he was	"thankful it 's all over."	ICE-NZL:W2C-017:95:5
#,,# 	... he came back from America just did n't seem as though	he was	#,,# [.] I mean he's got he's got a lot of problems at work ...	ICE-GBR:S1A-049:40:1:C
#,,# 	... uhm take any steps to see how reliable a sort of man	he was	#,,# [.] No	ICE-GBR:S1B-067:69:1:A
#,,# 	...aid exactly the same thing [.] They said one one gesture and	he was	#,,# [.] He just had this amazing	ICE-GBR:S1A-044:401:1:B
#,,# 	Yes [.]	He was	#,,# [.] Can you recall whether there was a trial within a t...	ICE-GBR:S1B-063:179:1:C
#,,# a all prepared to help support me and look after...	...ing that their own father had n't shown them #,,# [.] I mean	he was	#,,# a all prepared to help support me and look after...	ICE-GBR:S1B-049:186:1:B
#,,# apparently a very popular #,,# person uhm 	...ither name a building or uh some kind of memorial to him [.]	He was	#,,# apparently a very popular #,,# person uhm [.] And I sup...	ICE-GBR:S1A-003:53:1:B
#,,# not helping mr #,,# uhm cook at the time of the...	...basically a truthful man [.] And I am satisfied that in fact	he was	#,,# not helping Mr #,,# uhm Cook at the time of the...	ICE-GBR:S2A-067:172:1:A
#,,# slagging me 	... one of my my great mates you know you behind my back	he was	#,,# slagging me [.] You see he told somebody I was weak #,,...	ICE-GBR:S1A-052:100:2:A
#,,# uh jet-setting around quite a lot really uh and...	... suppose we maybe saw him once or twice a year because	he was	#,,# uh jet-setting around quite a lot really uh and...	ICE-GBR:S1A-076:77:1:B
#..# 	...l <,,> #..# [.] but if he was as determined as the crown say	he was	#..# [.] and he was as determined to leave with that child <...	ICE-NZL:S2A-069:95:1:C
#..# 	He was [.]	He was	#..# [.] Yes	ICE-GBR:S1A-044:345:1:A
#..# asked to write a thirteen part um serial about a...	...reated by um a man by the name of tony warren <,> [.] and um	he was	#..# asked to write a thirteen part um serial about a...	ICE-NZL:S1B-044:21:1:R
#..# from hong kong 	He wrote uhm <,> Sweet and Sour [.] Uh <,> he	he was	#..# from Hong Kong [.] And then he went <,> to live in Engl...	ICE-HKG:S1A-075:X162:1:Z
#..# with him at two / three programmes, this time,...	...he could talk to Mr. Sushilkumar. [.] He told me that though	he was	#..# with him at two / three programmes, this time,...	ICE-IND:W1B-002:24:1
#...# 	... the guy was stunned and he could n't do anything since	he was	#...# [.] Yeah	ICE-PHL:S1A-078:280:1:B
#...# 	And Carthy's crowd stuck in it [.] Was	he was	#...# [.] No uh uh Freddie Gavin and Bill Mullins that court...	ICE-IRL:S1A-083:C
#...# 	I thought J C was your ex-boyfriend [.] Yeah he	he was	#...# [.] So J C and J R <,> both of them your ex-boyfriends...	ICE-PHL:S1A-047:169:1:B
#...# 	We 're trying to think [.]	He was	#...# [.] What age is he	ICE-IRL:S1A-040:A
#...# #..# 	I wonder who was that [.]	He was	#...# #..# [.] He was getting too cheeky so he was	ICE-IRL:S1A-087:B
#...# <,> people were saying messages of goodwill and...	Yeah [.] Then	he was	#...# <,> people were saying messages of goodwill and...	ICE-IRL:S1A-033:D
#...# away over the sideline heading for the millard...	...sliding down the slopes of mount hutt as he hit the deck [.]	he was	#...# away over the sideline heading for the millard...	ICE-NZL:S2A-004:115:1:A
#...# born in cambridge 	...with his health [.] he had a profession in auckland although	he was	#...# born in cambridge [.] <[>mm</[></{>	ICE-NZL:S1A-018:162:1:L
#...# everyone like 	<[> No he had a job on then </[> </{> [.]	He was	#...# everyone like [.] I do n't know	ICE-IRL:S1A-024:C
#...# he was just in his room 	Uh yeah yeah yeah [.] When	he was	#...# he was just in his room [.] But some of the scenes are...	ICE-PHL:S1A-078:185:1:B
#...# was like three percent of the voters something...	...as</=></}> E L or something like that [.] Me no remember who	he was	#...# was like three percent of the voters something...	ICE-JAM:S1A-023:158:1:A
'apparently of some distinction among them'. 	... must have been an important elder, for Magra said that	he was	'apparently of some distinction among them'. [.] As he came ...	ICE-NZL:W2A-002:68:1
'glad to hear our friend arthur arrived safe' ...	...n 29 March. [.] On 15 April, Daniel O'Connell commented that	he was	'glad to hear our friend Arthur arrived safe' ...	ICE-IRL:W2B-009:A
( as i did not know him), i told him he was...	... 's letter reported that: Upon finding him, I asked who	he was	( as I did not know him), I told him he was...	ICE-PHL:W2A-011:27:1
( our neighbor) very likeable, a heavy drinker and gay. 	The glasses were nothing compared to usual prices. [.]	He was	( our neighbor) very likeable, a heavy drinker and gay. [.] ...	ICE-CAN:W1B-006:153:8
( unlike the englishwoman) an experienced teacher of...	... to make his own strong case for keeping the job:	he was	( unlike the Englishwoman) an experienced teacher of...	ICE-USA:W2F-003:29:1
, after all, correct about the common spud! 	... and fade into obscurity safe in the knowledge that	he was	, after all, correct about the common spud! [.] The man who o...	ICE-IRL:W2B-001:C
, after all, the judge who gave hei hei more than five...	... Justice Robertson is hardening his attitudes lately;	he was	, after all, the judge who gave Hei Hei more than five...	ICE-NZL:W2B-019:159:1
, although it was also said that she waylaid joe like...	... reasons why Joe married her, partial to beauty that	he was	, although it was also said that she waylaid Joe like...	ICE-PHL:W2F-009:29:1
, and avoided the places where he hung out. 	... or his friends, made sure she always knew where	he was	, and avoided the places where he hung out. [.] Even then, sh...	ICE-SGP:W2B-010:29:1
, and how he learnt very quickly to break his falls. 	... suffered many falls for it. [.] Let him know how determined	he was	, and how he learnt very quickly to break his falls. [.] He c...	ICE-SGP:W2D-020:34:1
, and it was her first job in london - 	...'s office . [.] She was from the same part of the world that	he was	, and it was her first job in London - [.] I suppose in a wa...	ICE-GBR:W2F-011:87:1
, apart from that he was obviously a huge foreign...	... was a nice guy , although most of us were not sure who	he was	, apart from that he was obviously a huge foreign...	ICE-HKG:W2D-016:12:1
, at least legally, an adult. 	... was 18 when you ran away, as you put it, which means	he was	, at least legally, an adult. [.] I do not have any doubt tha...	ICE-USA:W1B-013:7:1
, at mrs. 	... [.] Then, although Tommy had done generally well in school,	he was	, at Mrs. [.] Johnson 's " repeated insistence," placed in a ...	ICE-USA:W2B-018:50:1
, but to make a good guess was not easy because i have...	... be infatuated with you . [.] Of course I wanted to know who	he was	, but to make a good guess was not easy because I have...	ICE-HKG:W2F-003:8:1
, he found it easier to solve the riddle of the...	...e out by the same door as I went in . [.] Great scientist as	he was	, he found it easier to solve the riddle of the...	ICE-IND:W2B-003:33:1
, he said, studying their "psychological effects". 	...f the peace who made a point of attending every hanging. [.]	He was	, he said, studying their "psychological effects". [.] Most s...	ICE-NZL:W2B-015:93:1
, he would not allow such a thing to happen, so i am...	... National Bank is not aware of the above because, if	he was	, he would not allow such a thing to happen, so I am...	ICE-JAM:W1B-024:118:8
, how easily he has accepted what was , after all , a...	...t run down his collar . [.] Yet he was surprised by how calm	he was	, how easily he has accepted what was , after all , a...	ICE-HKG:W2F-019:228:1
, how much he owned or the lifestyle he led. 	... the ordinary men in the street cared not two hoots who	he was	, how much he owned or the lifestyle he led. [.] To them he w...	ICE-SGP:W2F-017:66:1
, however, deeply disappointed when he learned that...	The town was named after him. [.]	He was	, however, deeply disappointed when he learned that...	ICE-USA:W2F-012:78:1
, i thought . 	He said it kept him sober and wise . [.] How ridiculous	he was	, I thought . [.] Whenever he brought me to Pokka Caf̩ , I ...	ICE-HKG:W2F-016:39:1
, in fact, being recruited to work on a parasitology...	... a while and she found out that he was in research and	he was	, in fact, being recruited to work on a parasitology...	ICE-JAM:W2F-009:29:1
, in fact, trumpeted in with much pomp and circumstance. 	...have been rolled in on a dolly and plugged in somewhere. [.]	He was	, in fact, trumpeted in with much pomp and circumstance. [.] ...	ICE-CAN:W2E-007:102:3
, is n't in the international league and a lot of...	... by Margaret Austin. [.] But Goldie, brilliant artist though	he was	, is n't in the international league and a lot of...	ICE-NZL:W2E-003:29:2
, jack, standing right there, waiting for a table. 	That 's when she saw him. [.] There	he was	, Jack, standing right there, waiting for a table. [.] He had...	ICE-USA:W2F-020:116:1
, keeping a low profile . 	... he was a bloody murderer , but he was better off where	he was	, keeping a low profile . [.] " Well , after I 've shown Cas...	ICE-GBR:W2F-001:50:1
, of love and wonder. 	... briefly, put an arm around Cosmo's shoulders, so full,	he was	, of love and wonder. [.] But especially wonder - at the amaz...	ICE-NZL:W2F-017:191:1
, to me, very determined when he came in that game."	...but he pitched awfully well," manager Tony Muser said. [.] "	He was	, to me, very determined when he came in that game."	ICE-USA:W2C-003:114:5
, unlike the other influential figures in your life who...	... was unlike other hurts. [.] You recalled how fat and kindly	he was	, unlike the other influential figures in your life who...	ICE-CAN:W2F-005:50:1
, using the language of another power structure. 	My parish ends here, he said. [.] A bit self-conscious	he was	, using the language of another power structure. [.] But that...	ICE-IRL:W2F-014:A
, what a fine mind lay beneath that rough exterior? 	... standing. [.] Why had she failed to realise just how bright	he was	, what a fine mind lay beneath that rough exterior? [.] She l...	ICE-JAM:W2F-016:136:1
, which was a perch beside a plaster-of-paris angel, he...	... Sunday paintings and snazzy bachelor 's pad. [.] From where	he was	, which was a perch beside a plaster-of-Paris angel, he...	ICE-PHL:W2F-009:19:1
, without mercy, executed even as his mother pleaded on...	...floor with blood coming from his head." [.] Mr Tughan said  "	He was	, without mercy, executed even as his mother pleaded on...	ICE-IRL:W2C-001:F
- 	... was where we could see him at least we knew where	he was	- [.] now we have no safe repository for that power that mig...	ICE-GBR:W1A-008:44:1
- - as they say - - reading english ( those days,...	... of London, where she was into Oriental Studies and	he was	- - as they say - - reading English ( those days,...	ICE-IND:W2F-008:99:1
. 	'Hector's dolphin. [.] Pale grey,	he was	. [.] He lasted a good twenty years, the men agreed.	ICE-NZL:W2F-005:246:1
. 	... fully covered on Clarke's insurance, which he believed	he was	. [.] He went on to say that when the car was later stopped b...	ICE-IRL:W2C-016:C
. 	... he was serious about joining a new party and he said	he was	. [.] Subsequently McDowell invited O'Malley around to his ho...	ICE-IRL:W2B-019:A
. 	... ing he could not understand but that he would stay as	he was	. [.] A man wearing a blue windbreaker, shoes - no skates - s...	ICE-CAN:W2F-011:115:1
. 	... stay the night, because his mother did n't know where	he was	. [.] He was eight months younger than me.	ICE-USA:W2F-016:131:1
. 	... that <@>Judy</@> was taking me, and she thought	he was	. [.] So he felt bad for a while.	ICE-NZL:W1B-001:19:1
. 	... was entitled to his opinion and I was never sure that	he was	. [.] Bob thought we had to make a few compromises.	ICE-JAM:W2F-007:37:1
. 	.... [.] My agent called me in this morning to tell me how good	he was	. [.] " Adios Adios "	ICE-GBR:W1B-003:139:2
. 	...es me crazy. [.] I wish <@> Rod Hatley </@> had stayed where	he was	. [.] I seldom listen to more than the news on the radio - bu...	ICE-CAN:W1B-007:143:3
. 	...now when he left home. [.] A real langillala skinny-foot boy	he was	. [.] And look at him now.	ICE-JAM:W2F-005:24:1
. 	...ust at the roses he held in his hands. [.] I strode to where	he was	. [.] " Lee?" I bent down and stared up at his lowered eyes.	ICE-SGP:W2F-005:5:1
12 years old that doctors discovered he was largely...	...hat things were supposed to sound like. [.] It was not until	he was	12 years old that doctors discovered he was largely...	ICE-CAN:W2C-008:31:3
13 . 	... into his family tree during a school assignment when	he was	13 . [.] He continued to pursue his hobby while at DePaw Uni...	ICE-HKG:W2B-007:27:1
